,V Mag. (mV),Proper name,Bayer designation,Distance (ly),Spectral class,Mass (M☉),Radius (R☉),Luminosity (L☉)
0,,Sun,,0.000015813,G2,1,1,1
1,,Sirius,α CMa,,A1,2.1,1.71,25.4
2,,Canopus,α Car,,A9,15,71,13500
3,,Alpha Centauri,α Cen,,G2,1.1,1.2,2
4,,Arcturus,α Boo,,K2,1.1,26,170
5,,Vega,α Lyr,,A0,2.2,2.7,50
6,,Capella,α Aur,,G8,2.6,12,150
7,,Rigel,β Ori,,B8,23,78.9,120000
8,,Procyon,α CMi,,F5,1.5,1.9,7.7
9,,Betelgeuse,α Ori,[1],M2,20,950,60000
10,,Achernar,α Eri,,B3,6.7,9.3,3000
11,,Hadar,β Cen,,B1,10.5,8.6,42000
12,,Altair,α Aql,,A7,1.8,1.8,10.5
13,,Acrux,α Cru,,B0.5,18,8.9,25000
14,,Aldebaran,α Tau,,K5,1.5,44,520
15,,Antares,α Sco,,M1.5,12,680,75000
16,,Spica,α Vir,,B1,11.43,7.47,20512
17,,Pollux,β Gem,,K0,1.9,8.8,43
18,,Fomalhaut,α PsA,,A3,1.9,1.8,16.6
19,,Deneb,α Cyg,2600,A2,19,203,200000
20,,Mimosa,β Crucis,,B0.5,16,8.4,34000
21,,Regulus,α Leo,,B7,3.8,3.1,290
22,,Adhara,ε CMa,,B2,12.5,14,39000
23,,Shaula,λ Sco,,B2,14.5,8.8,36000
24,,Castor,α Gem,,A1,2.8,2.4,30
25,,Gacrux,γ Cru,,M3.5,1.5,84,820
26,,Bellatrix,γ Ori,,B2,8.6,5.8,9200
27,,Elnath,β Tau,,B7,5.0,4.2,700
28,,Miaplacidus,β Car,,A1,3.5,6.8,290
29,,Alnilam,ε Ori,2000,B0,32,42,380000
30,,Gamma Velorum,"γ1,2 Vel",,WC8,9.0,6,170000
31,,Alnair,α Gru,,B7,4.0,3.4,260
32,,Alioth,ε UMa,,A1,2.9,4.2,110
33,,Alnitak,ζ Ori,,O9.7,33,20,120000
34,,Dubhe,α UMa,,G9,4.25,30,300
35,,Mirfak,α Per,,F5,8.5,68,5000
36,,Wezen,δ CMa,1600,F8,17,200,82000
37,,Sargas,θ Sco,,F0,5.7,26,1800
38,,Kaus Australis,ε Sgr,,B9.5,3.5,6.8,360
39,,Avior,ε Car,,K3,9.0,130,60000
40,,Alkaid,η UMa,,B3,6.1,3.4,1350
41,,Menkalinan,β Aur,,A1,2.39,2.77,50
42,,Atria,α TrA,,K2,7,92,5500
43,,Alhena,γ Gem,,A1.5,2.8,3.3,120
44,,Peacock,α Pav,,B3,5.9,4.8,2200
45,,Alsephina[2],δ Vel,,A1,2.4,2.9,90
46,,Mirzam,β CMa,,B1,13.5,10,27000
47,,Polaris,α UMi,,F8,5.4,39,2500
48,,Alphard,α Hya,,K3,3.0,50,780
49,,Mintaka,δ Ori,,O9.5,24,16.5,190000
50,,Scheat,β Peg,,M2.5,2.1,95,1500
51,,Almaaz,ε Aur,,F0,15,140,43000
52,,Rasalgethi,α Her,,M5,2.8,280,8300
53,,Tau Ceti,τ Cet,,G8,0.783,0.893,0.52
54,,Delta Pavonis,δ Pav,,G8,0.991,1.22,1.22
55,,Ran,ε Eri,,K2,0.82,0.74,0.34
56,,V382 Carinae,Car,,G2,20,485,212000
57,,Eta Carinae,η Car,,O,100,60–881,5000000
58,,Delta Cephei,δ Cep,,F5,4.5,44.5,2000
59,,Mu Cephei,μ Cep,,M2,19.2,972,135000
60,,Titawin,υ And,,F8,1.27,1.48,3.57
61,,Rho Cassiopeiae,ρ Cas,,G2,22,636-981,"347,000 - 530,000"
62,,P Cygni,P Cyg,,B1,30,76,610000
63,,La Superba,CVn,,C5,,129 - 342,"2,472 - 5,800"
64,,VV Cephei,Cep,,M2,18.2,"516 - 1,050",200000
65,,61 Cygni,Cyg,,K5,0.7,0.665,0.153
66,,R Doradus,Dor,,M8,0.7 - 1.0,298,4350
67,,Polaris Australis,Oct,,F0,1.59,3.74,38
68,,R Coronae Borealis,Bor,,G0,0.85,85,10000
69,,54 Piscium,Psc,,K0,0.76,0.94,0.52
70,,Mira,ο Ceti,,M7,1.2,370,9000
71,,RW Cephei,Cep,,K2,13.9,1158,417000
72,,Lacaille 8760,Mic,,M0,0.6,0.51,0.072
73,,V838 Monocerotis,Mon,,M6,?,380 - 750,15000
74,,HD 140283,Lib,,F?,?,1.4,3.83
75,,II Pegasi,Peg,,K2,0.8,3.4,1.06
76,,VY Canis Majoris,CMa,,M5,17,1420,"178,000 - 270,000"
77,,Pistol Star,Sgr,,B3,100,320,1700000
78,,S Doradus,Dor,,B8,24,380,910000
79,,UY Scuti,Sct,,M4,7–10,755,"86,300 - 87,100"
80,,Barnard's Star,Oph,,M4,0.14,0.20,0.0035
81,,Luhman 16,Vel,,L7,0.04,?,?
82,,Proxima Centauri,Cen,,M6,0.12,0.15,0.0017
83,,KIC 8462852,Cyg,,F3,1.43,1.58,4.68
